Gia_tri,So_luong
2025-08-22,104
2025-08-27,103
2025-08-21,98
2025-08-26,87
2025-08-23,82
2025-08-19,80
2025-08-12,80
2025-08-04,72
2025-08-15,70
2025-07-31,69
2025-08-06,68
2025-08-14,66
2025-08-20,62
2025-08-25,60
2025-08-05,59
2025-08-07,56
2025-08-08,55
2025-08-28,55
2025-08-13,54
2025-08-01,52
2025-08-11,51
2025-08-18,49
2025-08-29,45
2025-08-16,36
2025-08-09,28
2025-07-29,22
2025-08-24,18
2025-07-26,17
2025-07-25,16
2025-08-02,15
2025-07-30,14
2025-07-28,12
2025-08-17,10
2025-08-10,8
2025-07-24,7
2025-08-03,2
2025-07-27,2
