,Tên tiêu đề,Tên Công ty,link công ty,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,mô ta công việc,Yêu cầu công việc,source_job,Thành phố,Địa chỉ
0,Data Engineer,"SCHAEFFLER VIETNAM CO., LTD",https://careerviet.vn/vi/nha-tuyen-dung/schaeffler-vietnam-co-ltd.35A55FA9.html,21/08/2025,"CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,"1 - 3 
                                                        Năm",Nhân viên,26/09/2025,[],"B.Sc. or M.Sc. in Computer Science or related fields; Experience with relational databases (SQL) and basic cloud computing principles; Programming skills in Python and/or Java; Software development experience is a plus; Experience with integration of data from multiple data sources and IT systems is a plus; Experience with in working with Cloud environments and services, preferably with Microsoft Azure is a plus; Fluent language skills in English",https://careerviet.vn/vi/tim-viec-lam/data-engineer.35C541AE.html,,
1,SAP FICO CONSULTANT,CÔNG TY CỔ PHẦN CÔNG NGHỆ CITEK,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-cong-nghe-citek.35A8C8BE.html,16/08/2025,"Kế toán / Kiểm toán, Tư vấn, CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,"2 - 10 
                                                        Năm",Nhân viên,28/08/2025,"['Company Description', 'Citek Technology JSC is an enterprise that consults and deploys many digital transformation solutions including ERP (SAP & Oracle Netsuite), MES, Data Collection, CRM, Data warehouse, Business planning, Business Intelligent.', 'We have been trusted by global companies and leading domestic companies such as Hoa Phat Group, Cadivi Electric Cable, Eurowindow, Gelex Group, Hoa Binh Minh Group, Phenikaa Group, Vicostone, Quan Dat, BIO, VAS Steel, Minh Phu Seafood, Hai Nam Seafood, Rang Dong Plastic, Ton Nam Kim, Nanogen Pharmaceutical, Pharbaco, Mainetti, Gia Hoa, Diana-Unicharm, Maison, Nippon Paint, Honda Vietnam, Mitsubishi Electric, Ajinomoto, BSI, Puratos, Clariant, Relats, Dien May Cho Lon, Fulbright University, Adidas, Digiworld, A An, Uniben, Thibidi, Emic, …', 'Role Description', 'The opening is for multiple roles and numbers of ERP Consultant for module:', 'FICO (Financial Accounting & Controlling)', '· Implement SAP S4/HANA modules (FICO/TRM) according to the requirements of each project.', '· Participate in the full cycle of new deployment projects, or participate in projects that Citek is implementing for domestic or foreign customers.', '· Perform the main tasks in the projects: business survey, solution consulting – configuring each module, writing manuals, training users, supporting operations, coordinating with departments, other functions to complete and Go-live projects.']","Bằng cấp:
                Đại học; Độ tuổi:
                Không giới hạn tuổi; Lương: 
      Cạnh tranh",https://careerviet.vn/vi/tim-viec-lam/sap-fico-consultant.35C48A92.html,Hồ Chí Minh,"Số 75, Đường 41, Khu đô thị Vạn Phúc, P. Hiệp Bình Phước, TP. Thủ Đức, TP. Hồ Chí Minh"
2,Nhân Viên Quản Trị Hệ Thống,Công ty TNHH MTV Thông tin M1 - Tập đoàn Viễn thông Quân đội (VIETTEL),https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-thong-tin-m1-tap-doan-vien-thong-quan-doi-viettel.35A89063.html,16/08/2025,"Sản xuất / Vận hành sản xuất, CNTT - Phần cứng / Mạng, CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,"Trên  3 
                                                        Năm",Nhân viên,14/09/2025,"['1. Quản trị, cấu hình, triển khai, giám sát theo dõi các hệ thống máy chủ cung cấp dịch vụ (Hệ thống máy chủ, Cơ sở dữ liệu, File Server, hệ thống Storage,…) của Công ty. Đảm bảo hệ thống hoạt động 24/7, khắc phục các sự cố phát sinh tuân thủ qui trình, qui định.', '2. Quản trị, cấu hình, giám sát, vận hành đảm bảo an toàn, tối ưu, bảo mật cho các hệ thống của Công ty; Chủ trì duy trì và đề xuất cải tiến, phát triển, mở rộng hệ thống đáp ứng nhu cầu sử dụng, sản xuất kinh doanh.', '3. Có kinh nghiệm triển khai các giải pháp ảo hóa như VMware vSphere hoặc Docker containers..', '4. Chủ trì Thiết kế xây dựng cơ sở hạ tầng kỹ thuật, triển khai lắp đặt, quản trị thiết bị mạng và các hệ thống giám sát hạ tầng mạng lưới.', '5. Tối ưu hóa việc sử dụng tài nguyên hệ thống dịch vụ của Công ty.', '6. Chịu trách nhiệm quản lý, cấp phát, quản lý tài nguyên của hệ thống dịch vụ. Đảm bảo nhu cầu cho hoạt động sản xuất kinh doanh của Công ty, cũng như cho các dịch vụ của Công ty.', '7. Xây dựng quy trình vận hành khai thác; quy trình khắc phục xử lý sự cố, các quy trình kỹ thuật cho từng nghiệp vụ có công việc liên quan …; phối hợp tổ chức và xây dựng quy trình cung cấp dịch vụ.', '8. Thực hiện bảo dưỡng, sao lưu cấu hình các thiết bị hệ thống (Máy chủ, Storage …) định kỳ thường xuyên.', '9. Cấp phát, quản lý tài nguyên, quản lý tài khoản người dùng.']","Bằng cấp:
                Đại học; Độ tuổi:
                Không giới hạn tuổi; Lương: 
      Cạnh tranh",https://careerviet.vn/vi/tim-viec-lam/nhan-vien-quan-tri-he-thong.35C53485.html,Hà Nội,"An Khánh, Hoài Đức, Hà Nội"
3,Nhân Viên Quản Trị Hệ Thống,Công ty TNHH MTV Thông tin M1 - Tập đoàn Viễn thông Quân đội (VIETTEL),https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-thong-tin-m1-tap-doan-vien-thong-quan-doi-viettel.35A89063.html,21/08/2025,"Sản xuất / Vận hành sản xuất, CNTT - Phần cứng / Mạng, CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,"Trên  3 
                                                        Năm",Nhân viên,19/09/2025,"['1. Quản trị, cấu hình, triển khai, giám sát theo dõi các hệ thống máy chủ cung cấp dịch vụ (Hệ thống máy chủ, Cơ sở dữ liệu, File Server, hệ thống Storage,…) của Công ty. Đảm bảo hệ thống hoạt động 24/7, khắc phục các sự cố phát sinh tuân thủ qui trình, qui định.', '2. Quản trị, cấu hình, giám sát, vận hành đảm bảo an toàn, tối ưu, bảo mật cho các hệ thống của Công ty; Chủ trì duy trì và đề xuất cải tiến, phát triển, mở rộng hệ thống đáp ứng nhu cầu sử dụng, sản xuất kinh doanh.', '3. Có kinh nghiệm triển khai các giải pháp ảo hóa như VMware vSphere hoặc Docker containers..', '4. Chủ trì Thiết kế xây dựng cơ sở hạ tầng kỹ thuật, triển khai lắp đặt, quản trị thiết bị mạng và các hệ thống giám sát hạ tầng mạng lưới.', '5. Tối ưu hóa việc sử dụng tài nguyên hệ thống dịch vụ của Công ty.', '6. Chịu trách nhiệm quản lý, cấp phát, quản lý tài nguyên của hệ thống dịch vụ. Đảm bảo nhu cầu cho hoạt động sản xuất kinh doanh của Công ty, cũng như cho các dịch vụ của Công ty.', '7. Xây dựng quy trình vận hành khai thác; quy trình khắc phục xử lý sự cố, các quy trình kỹ thuật cho từng nghiệp vụ có công việc liên quan …; phối hợp tổ chức và xây dựng quy trình cung cấp dịch vụ.', '8. Thực hiện bảo dưỡng, sao lưu cấu hình các thiết bị hệ thống (Máy chủ, Storage …) định kỳ thường xuyên.', '9. Cấp phát, quản lý tài nguyên, quản lý tài khoản người dùng.']","Bằng cấp:
                Đại học; Độ tuổi:
                Không giới hạn tuổi; Lương: 
      Cạnh tranh",https://careerviet.vn/vi/tim-viec-lam/nhan-vien-quan-tri-he-thong.35C4FE71.html,Hà Nội,"An Khánh, Hoài Đức, Hà Nội"
4,KỸ SƯ CÔNG NGHỆ THÔNG TIN,CÔNG TY CỔ PHẦN SẢN XUẤT VÀ BẢO DƯỠNG THIẾT BỊ HÀNG KHÔNG,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-san-xuat-va-bao-duong-thiet-bi-hang-khong.35A9B4AA.html,21/08/2025,"CNTT - Phần mềm, CNTT - Phần cứng / Mạng, Xây dựng",Nhân viên chính thức,12 Tr - 18 Tr VND,"Trên  1 
                                                        Năm",Nhân viên,19/09/2025,"['• Tiến hành khảo sát, tư vấn, thiết kế hệ thống cho khách hàng trong ngành hàng không; Tham gia triển khai các giải pháp CNTT', '• Viết tài liệu, triển khai các giải pháp, tài liệu thầu', '• Cài đặt, nâng cấp, tối ưu hệ thống CNTT cho khách hàng.', '• Hỗ trợ khách hàng vận hành, giám sát và xử lý các sự cố phát sinh (phần cứng,phần mềm , hệ điều hành, mạng…)', '• Thu thập, phân tích các vấn đề kỹ thuật liên quan đến phần cứng và phần mềm của hệ thống.', '• Triển khai lắp đặt, cài đặt, nâng cấp, bảo trì, bảo dưỡng thiết bị CNTT cho khách hàng', '• Chi tiết công việc sẽ được trao đổi cụ thể khi phỏng vấn.']","Bằng cấp:
                Cao đẳng; Giới tính:
         Nam; Độ tuổi:
                Không giới hạn tuổi; Lương: 
                  12 Tr - 18 Tr
       VND",https://careerviet.vn/vi/tim-viec-lam/ky-su-cong-nghe-thong-tin.35C4FDEC.html,Hà Nội,"Sân bay Quốc tế Nội Bài - Ga Quốc tế (T2), Xã Phú Cường, Huyện Sóc Sơn, Thành phố Hà Nội"
5,Remote Software Engineering Intern,Springer Capital,https://careerviet.vn/vi/nha-tuyen-dung/springer-capital.35A9DC49.html,24/07/2025,CNTT - Phần mềm,"Bán thời gian, Thực tập","500 - 1,000 USD",,Sinh viên/ Thực tập sinh,19/12/2025,"['▪ Create and implement a workflow for our CRM systems and investor database', '▪ Implement administrator policies for Microsoft 365 group policy', '▪ Administer virtual machines using VMware', '▪ Setup Servers and VPNs on Ubuntu for remote access']","Độ tuổi:
                Không giới hạn tuổi; Lương: 
                  500 - 1,000
       USD",https://careerviet.vn/vi/tim-viec-lam/remote-software-engineering-intern.35C29698.html,,
6,Remote Data Automation Specialist Intern,Springer Capital,https://careerviet.vn/vi/nha-tuyen-dung/springer-capital.35A9DC49.html,24/07/2025,CNTT - Phần mềm,"Bán thời gian, Thực tập","500 - 1,000 USD",,Sinh viên/ Thực tập sinh,19/12/2025,"['Responsibilities:', '▪ Collect data from various sources, including databases, APIs, and web scraping tools.', '▪ Clean and process raw data to ensure it is accurate and consistent.', '▪ Analyze data to extract insights using computational tools, such as Excel, SQL, and Python.', '▪ Communicate insights in a clear and concise manner with the manager along your progress.', '▪ Implement solutions based on insights you discovered to improve business processes or solve problems.']","Độ tuổi:
                Không giới hạn tuổi; Lương: 
                  500 - 1,000
       USD",https://careerviet.vn/vi/tim-viec-lam/remote-data-automation-specialist-intern.35C2945B.html,,
7,[HCM] IT HELP DESK INTERN,Classic Fine Foods,https://careerviet.vn/vi/nha-tuyen-dung/classic-fine-foods.35A515DF.html,23/07/2025,"CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Thực tập,Cạnh tranh,,Sinh viên/ Thực tập sinh,31/08/2025,[],"Working location in Tan Thuan EPZ, District 7.; Undergraduate student; Hard-working and able to work independently and under pressure.; Has a strong desire to learn and is receptive to others' ideas; Knowledge of relevant IT fields (Network, Microsoft, Office 365, SharePoint, Exchange, infrastructure …); Understanding of core technologies used, including Operation system (Windows 10/11); DC, AD, IP, DNS, DHCP, Group Policy, Wireless; ISP, Internet, Leased line, Network device.; Detail-oriented and efficient teamwork.; Good in fault-finding and diagnostic skills.",https://careerviet.vn/vi/tim-viec-lam/hcm-it-help-desk-intern.35C502D6.html,,
8,Cộng tác viên Vận hành hệ thống,GTEL ICT,https://careerviet.vn/vi/nha-tuyen-dung/gtel-ict.35A94372.html,23/07/2025,"CNTT - Phần mềm, CNTT - Phần cứng / Mạng","Nhân viên chính thức, Thời vụ/ Nghề tự do, Thực tập",Cạnh tranh,,Mới tốt nghiệp,30/08/2025,[],"Sinh viên năm cuối hoặc tốt nghiệp Đại học các ngành công nghệ thông tin, điện tử viễn thông, toán tin, an toàn thông tin.; Có kiến thức cơ bản: hệ điều hành Linux/Unix, windows.; Có khả năng đọc hiểu tài liệu kỹ thuật bằng Tiếng Anh; Tác phong làm việc nhanh nhẹn, chăm chỉ, chịu khó.",https://careerviet.vn/vi/tim-viec-lam/cong-tac-vien-van-hanh-he-thong.35C502C5.html,Hà Nội,"103 Nguyễn Tuân, Thanh Xuân Trung, Thanh Xuân, Hà Nội"
9,Nhân viên tư vấn Marketing Web,Công ty TNHH Thương mại Dịch vụ Web Ideas,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-thuong-mai-dich-vu-web-ideas.35A9FC62.html,23/07/2025,"Bán hàng / Kinh doanh, Tư vấn, CNTT - Phần mềm",Nhân viên chính thức,9 Tr - 25 Tr VND,,Mới tốt nghiệp,01/08/2025,"['- Tìm kiếm khách hàng mới và mở rộng thị trường, thiết lập cuộc hẹn để tư vấn', '- Tư vấn về dịch vụ thiết kế website, hosting, tên miền, dịch vụ chăm sóc, quản trị, quảng cáo website', '- Báo giá, đàm phán, ký kết hợp đồng, quản lý, hỗ trợ khách hàng và bàn giao dự án', '- Chăm sóc khách hàng', 'Thu nhập:', '- Lương cơ bản: 5 triệu + Hoa hồng lên đến 40%', '- Thu nhập trung bình từ 9 – 25 triệu/tháng', '- Thưởng gia hạn hàng năm Host, Domain lên đến 20%', '- Thử việc 1 tháng nhận 100% lương cơ bản', 'Đãi ngộ:', '- Team bulding hằng năm', '- Thưởng đạt doanh thu tuần, tháng', '- Nhiều chương trình thưởng hấp dẫn khác áp dụng hàng tháng', '- Nhân viên chính thức sẽ được hỗ trợ tiền trợ cấp nếu không có doanh thu', 'Cơ hội:', '- Môi trường làm việc vui vẻ, đồng nghiệp thân thiện, cơ hội thăng tiến', '- Được đào tạo bài bản về sales và kiến thức về Web, SEO, Domain, Hosting, Marketing; được rèn luyện kĩ năng tư vấn, kĩ năng kinh doanh trong suốt quá trình làm việc', '- Thời gian làm việc: Từ thứ 2 đến thứ 6 ( 8h - 17h) và sáng thứ 7 (8h-12h), nghỉ trưa 1 tiếng 30 phút']","Bằng cấp:
                Trung cấp; Độ tuổi:
                        21 - 30; Lương: 
                  9 Tr - 25 Tr
       VND",https://careerviet.vn/vi/tim-viec-lam/nhan-vien-tu-van-marketing-web.35C50218.html,Hồ Chí Minh,"361 Phạm Văn Bạch, Phường 15, Tân Bình, Hồ Chí Minh"
